"filename", "language", "TOML", "pip requirements", "YAML", "Markdown", "Python", "JSON", "comment", "blank", "total"
"/home/uwu/Projects/GeoMoka-Model/README.md", "Markdown", 0, 0, 0, 58, 0, 0, 0, 18, 76
"/home/uwu/Projects/GeoMoka-Model/config/ISPRS-Postdam/metadata.yaml", "YAML", 0, 0, 19, 0, 0, 0, 9, 1, 29
"/home/uwu/Projects/GeoMoka-Model/config/ISPRS-Postdam/train_dpt.yaml", "YAML", 0, 0, 82, 0, 0, 0, 11, 14, 107
"/home/uwu/Projects/GeoMoka-Model/config/ISPRS-Postdam/train_smp.yaml", "YAML", 0, 0, 78, 0, 0, 0, 11, 16, 105
"/home/uwu/Projects/GeoMoka-Model/pyproject.toml", "TOML", 40, 0, 0, 0, 0, 0, 0, 5, 45
"/home/uwu/Projects/GeoMoka-Model/requirements.txt", "pip requirements", 0, 12, 0, 0, 0, 0, 0, 1, 13
"/home/uwu/Projects/GeoMoka-Model/scripts/download_isprs_postdam.py", "Python", 0, 0, 0, 0, 19, 0, 0, 6, 25
"/home/uwu/Projects/GeoMoka-Model/scripts/download_pretrained.py", "Python", 0, 0, 0, 0, 21, 0, 0, 6, 27
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/cli/calibrate.py", "Python", 0, 0, 0, 0, 138, 0, 44, 35, 217
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/cli/datasplit.py", "Python", 0, 0, 0, 0, 42, 0, 0, 16, 58
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/cli/scaffold.py", "Python", 0, 0, 0, 0, 18, 0, 1, 8, 27
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/cli/train.py", "Python", 0, 0, 0, 0, 11, 0, 0, 5, 16
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/dataloader/build_dataset.py", "Python", 0, 0, 0, 0, 8, 0, 1, 3, 12
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/dataloader/dataset.py", "Python", 0, 0, 0, 0, 64, 0, 26, 16, 106
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/dataloader/mask_converter.py", "Python", 0, 0, 0, 0, 50, 0, 17, 16, 83
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/dataloader/transform.py", "Python", 0, 0, 0, 0, 80, 0, 72, 26, 178
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/dataloader/wrapper.py", "Python", 0, 0, 0, 0, 84, 0, 16, 30, 130
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/eval/evaluate.py", "Python", 0, 0, 0, 0, 100, 0, 49, 28, 177
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/eval/metrics.py", "Python", 0, 0, 0, 0, 122, 0, 64, 41, 227
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/inference/engine.py", "Python", 0, 0, 0, 0, 200, 0, 94, 51, 345
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/inference/rasterio.py", "Python", 0, 0, 0, 0, 24, 0, 3, 2, 29
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/losses/ohem.py", "Python", 0, 0, 0, 0, 49, 0, 3, 8, 60
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/backbone/dinov2.py", "Python", 0, 0, 0, 0, 315, 0, 49, 55, 419
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/backbone/dinov2_layers/__init__.py", "Python", 0, 0, 0, 0, 5, 0, 5, 2, 12
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/backbone/dinov2_layers/attention.py", "Python", 0, 0, 0, 0, 58, 0, 9, 22, 89
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/backbone/dinov2_layers/block.py", "Python", 0, 0, 0, 0, 183, 0, 22, 48, 253
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/backbone/dinov2_layers/drop_path.py", "Python", 0, 0, 0, 0, 17, 0, 9, 10, 36
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/backbone/dinov2_layers/layer_scale.py", "Python", 0, 0, 0, 0, 16, 0, 6, 7, 29
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/backbone/dinov2_layers/mlp.py", "Python", 0, 0, 0, 0, 26, 0, 8, 8, 42
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/backbone/dinov2_layers/patch_embed.py", "Python", 0, 0, 0, 0, 53, 0, 18, 19, 90
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/backbone/dinov2_layers/swiglu_ffn.py", "Python", 0, 0, 0, 0, 48, 0, 5, 11, 64
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/build_model.py", "Python", 0, 0, 0, 0, 99, 0, 2, 29, 130
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/semseg/dpt.py", "Python", 0, 0, 0, 0, 136, 0, 0, 38, 174
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/util/blocks.py", "Python", 0, 0, 0, 0, 83, 0, 27, 38, 148
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/model/wrapper.py", "Python", 0, 0, 0, 0, 94, 0, 40, 25, 159
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/train/supervised.py", "Python", 0, 0, 0, 0, 153, 0, 21, 36, 210
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/train/tester.py", "Python", 0, 0, 0, 0, 15, 0, 0, 2, 17
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/train/trainer.py", "Python", 0, 0, 0, 0, 138, 0, 54, 26, 218
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/train/unimatch_v2.py", "Python", 0, 0, 0, 0, 219, 0, 0, 63, 282
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/util/dist_helper.py", "Python", 0, 0, 0, 0, 30, 0, 5, 7, 42
"/home/uwu/Projects/GeoMoka-Model/src/geomoka/util/utils.py", "Python", 0, 0, 0, 0, 76, 0, 13, 17, 106
"/home/uwu/Projects/GeoMoka-Model/tests/experiment.ipynb", "JSON", 0, 0, 0, 0, 0, 368, 0, 1, 369
"Total", "-", 40, 12, 179, 58, 2794, 368, 714, 816, 4981